line,model,pwbno,pwb_name,process,prod_no,start_serial,lot_size
FA01,jkts-001,12312,tidak tahu,di proses,1,1,12000
FA02,jkts-002,12313,tidak tahu,di proses,2,1,98
FA03,jkts-003,12314,tidak tahu,di proses,3,1,9
FA04,jkts-004,12315,tidak tahu,di proses,4,1,12000
FA05,jkts-005,12316,tidak tahu,di proses,5,1,511
FA06,jkts-006,12317,tidak tahu,di proses,6,1,12000
FA07,jkts-007,12318,tidak tahu,di proses,7,1,12000
FA08,jkts-008,12319,tidak tahu,di proses,8,1,120
FA09,jkts-009,12320,tidak tahu,di proses,9,1,12000
FA10,jkts-010,12321,tidak tahu,di proses,10,1,12000
FA11,jkts-011,12322,tidak tahu,di proses,11,1,12000
FA12,jkts-012,12323,tidak tahu,di proses,12,1,56
FA13,jkts-013,12324,tidak tahu,di proses,13,1,12000
FA14,jkts-014,12325,tidak tahu,di proses,14,1,12000
FA15,jkts-015,12326,tidak tahu,di proses,15,1,98
FA16,jkts-016,12327,tidak tahu,di proses,16,1,12000
FA17,jkts-017,12328,tidak tahu,di proses,17,1,65
FA18,jkts-018,12329,tidak tahu,di proses,18,1,12000
FA19,jkts-019,12330,tidak tahu,di proses,19,1,78
FA20,jkts-020,12331,tidak tahu,di proses,20,1,12000
FA21,jkts-021,12332,tidak tahu,di proses,21,1,485
FA22,jkts-022,12333,tidak tahu,di proses,22,1,12000
FA23,jkts-023,12334,tidak tahu,di proses,23,1,12000
FA24,jkts-024,12335,tidak tahu,di proses,24,1,12000
FA25,jkts-025,12336,tidak tahu,di proses,25,1,12000
FA26,jkts-026,12337,tidak tahu,di proses,26,1,12000
FA27,jkts-027,12338,tidak tahu,di proses,27,1,12000
FA28,jkts-028,12339,tidak tahu,di proses,28,1,12000
FA29,jkts-029,12340,tidak tahu,di proses,29,1,12000
FA30,jkts-030,12341,tidak tahu,di proses,30,1,12000
FA31,jkts-031,12342,tidak tahu,di proses,31,1,12000
FA32,jkts-032,12343,tidak tahu,di proses,32,1,12000
FA33,jkts-033,12344,tidak tahu,di proses,33,1,12000
FA34,jkts-034,12345,tidak tahu,di proses,34,1,12000
FA35,jkts-035,12346,tidak tahu,di proses,35,1,12000
FA36,jkts-036,12347,tidak tahu,di proses,36,1,12000
FA37,jkts-037,12348,tidak tahu,di proses,37,1,12000
FA38,jkts-038,12349,tidak tahu,di proses,38,1,12000
